protein_a,protein_b,interaction_score
b2954,b4177,746
b2508,b2954,959
b0881,b0882,999
b2592,b0014,999
b2592,b2614,998
b2617,b2595,999
b0424,b3295,506
b0424,b3987,499
b0424,b0014,583
b0424,b0015,843
b0424,b4143,553
b0424,b2592,561
b0424,b0932,574
b0424,b0098,499
b0424,b1732,592
b0424,b0605,596
b0424,b2480,513
b0424,b2697,499
b0424,b0026,499
b0424,b0642,499
b0424,b1719,499
b0424,b1714,509
b0424,b3339,834
b0424,b3980,508
b0424,b1237,499
b0424,b0683,500
b0424,b0345,502
b0424,b3418,499
b0424,b1324,585
b0424,b1779,660
b0424,b1241,510
b0424,b2416,508
b0424,b1415,499
b0424,b0114,832
b0424,b0726,499
b0424,b3708,832
b0424,b1276,501
b0424,b0118,499
b0424,b0724,627
b0424,b2283,510
b0424,b3894,499
b0424,b2925,547
b0424,b1086,502
b0424,b0911,523
b0424,b0169,834
b0424,b3314,550
b0424,b3296,526
b0424,b3306,526
b0424,b3321,843
b0424,b3297,534
b0424,b3342,507
b0424,b3316,836
b0424,b3317,540
b0424,b3308,836
b0424,b3305,526
b0424,b3985,505
b0424,b3983,530
b0424,b3986,527
b0424,b3231,839
b0424,b3310,838
b0424,b3185,835
b0424,b3637,832
b0015,b0014,999
b1000,b0014,996
b2831,b4170,999
b2530,b3895,698
b1584,b2217,532
b0640,b4052,926
b0008,b0071,390
b0032,b2181,499
b0033,b0032,999
b0042,b0041,999
b0042,b2988,542
b0042,b3910,542
b0048,b0044,364
b0048,b1566,499
b0048,b0424,151
b0048,b1831,217
b0048,b3825,166
b0049,b2022,353
b0052,b0044,154
b0052,b1593,243
b0064,b3128,174
b0071,b0072,999
b0078,b0077,999
b0080,b4171,188
b0085,b0328,165
b0085,b2004,154
b0085,b3488,154
b0088,b0095,932
b0088,b0096,683
b0090,b2581,509
b0091,b0084,974
b0091,b1351,343
b0091,b1566,499
b0093,b0095,997
b0093,b3933,999
b0093,b1391,155
b0094,b3448,503
b0104,b0237,852
b0113,b4367,160
b0115,b0116,999
b0130,b3773,343
b0133,b2299,801
b0154,b2980,548
b0154,b3021,542
b0159,b1916,395
b0166,b1566,153
b0171,b1566,153
b0172,b1324,601
b0172,b2597,790
b0172,b1108,542
b0182,b3946,188
b0182,b3010,154
b0184,b0215,999
b0185,b1126,194
b0185,b2316,999
b0200,b1462,204
b0200,b1717,546
b0200,b2696,153
b0243,b0146,774
b0243,b2422,569
b0243,b2125,776
b0261,b0199,205
b0261,b3043,153
b0291,b2584,499
b0348,b0044,166
b0348,b1156,169
b0351,b0044,171
b0351,b2147,150
b0351,b2907,163
b0351,b2980,542
b0351,b0946,542
b0351,b4502,542
b0352,b1264,425
b0381,b0095,509
b0387,b0618,499
b0387,b1176,542
b0387,b1689,169
b0387,b4379,542
b0391,b3021,228
b0391,b1831,542
b0391,b4502,315
b0391,b3871,542
b0399,b0321,178
b0408,b1713,795
b0414,b1575,158
b0417,b0398,151
b0421,b1849,501
b0431,b0600,514
b0467,b0560,151
b0467,b2980,542
b0467,b4052,988
b0467,b3357,514
b0470,b0184,999
b0470,b4259,999
b0470,b4372,999
b0473,b0946,473
b0474,b0600,501
b0475,b2440,157
b2213,b3067,829
b3357,b3067,999
b3995,b3067,999
