protein_id,go_term
Q0045,GO:0006119
Q0045,GO:0006123
Q0045,GO:0009060
Q0045,GO:0022904
Q0045,GO:0005739
Q0045,GO:0005743
Q0045,GO:0016020
Q0045,GO:0045277
Q0045,GO:0004129
Q0045,GO:0020037
Q0045,GO:0046872
Q0050,GO:0006278
Q0050,GO:0006315
Q0050,GO:0006397
Q0050,GO:0090615
Q0050,GO:0005739
Q0050,GO:0003964
Q0055,GO:0006278
Q0055,GO:0006314
Q0055,GO:0006315
Q0055,GO:0006397
Q0055,GO:0009060
Q0055,GO:0090615
Q0055,GO:1902600
Q0055,GO:0005739
Q0055,GO:0016020
Q0055,GO:0003964
Q0055,GO:0004129
Q0055,GO:0020037
Q0060,GO:0006314
Q0060,GO:0006397
Q0060,GO:0008150
Q0060,GO:0008380
Q0060,GO:0009060
Q0060,GO:0022904
Q0060,GO:0005739
Q0060,GO:0016020
Q0060,GO:0045277
Q0060,GO:0004129
Q0060,GO:0004519
Q0060,GO:0020037
Q0065,GO:0006314
Q0065,GO:0006397
Q0065,GO:0008380
Q0065,GO:0009060
Q0065,GO:0022904
Q0065,GO:0005739
Q0065,GO:0016020
Q0065,GO:0045277
Q0065,GO:0004129
Q0065,GO:0004519
Q0065,GO:0020037
Q0070,GO:0006314
Q0070,GO:0006316
Q0070,GO:0006397
Q0070,GO:0008380
Q0070,GO:0009060
Q0070,GO:0022904
Q0070,GO:0005739
Q0070,GO:0016020
Q0070,GO:0045277
Q0070,GO:0004129
Q0070,GO:0004519
Q0070,GO:0020037
Q0075,GO:0006314
Q0075,GO:0008150
Q0075,GO:0005739
Q0075,GO:0003674
Q0075,GO:0004519
Q0080,GO:0006754
Q0080,GO:0015986
Q0080,GO:1902600
Q0080,GO:0005739
Q0080,GO:0016020
Q0080,GO:0031966
Q0080,GO:0045263
Q0080,GO:0015078
Q0080,GO:0046933
Q0085,GO:0006754
Q0085,GO:0015986
Q0085,GO:1902600
Q0085,GO:0005739
Q0085,GO:0005743
Q0085,GO:0045259
Q0085,GO:0045263
Q0085,GO:0015078
Q0085,GO:0046933
Q0105,GO:0006122
Q0105,GO:0009060
Q0105,GO:0022904
Q0105,GO:1902600
Q0105,GO:0005739
Q0105,GO:0005743
Q0105,GO:0016020
Q0105,GO:0045275
Q0105,GO:0008121
Q0105,GO:0046872
Q0110,GO:0006122
Q0110,GO:0006397
Q0110,GO:0008380
Q0110,GO:0022904
Q0110,GO:1902600
Q0110,GO:0005739
Q0110,GO:0005743
Q0110,GO:0016020
Q0110,GO:0004518
Q0110,GO:0004519
Q0110,GO:0008121
Q0110,GO:0009055
Q0110,GO:0016491
Q0115,GO:0000372
Q0115,GO:0006122
Q0115,GO:0006397
Q0115,GO:0008380
Q0115,GO:0022904
Q0115,GO:0090615
Q0115,GO:1902600
Q0115,GO:0005739
Q0115,GO:0005743
Q0115,GO:0016020
Q0115,GO:0003723
Q0115,GO:0004519
Q0115,GO:0008121
Q0115,GO:0009055
Q0115,GO:0016491
Q0120,GO:0000372
Q0120,GO:0006122
Q0120,GO:0006397
Q0120,GO:0008380
Q0120,GO:0090615
Q0120,GO:1902600
Q0120,GO:0005739
Q0120,GO:0003723
Q0120,GO:0004519
Q0120,GO:0008121
Q0120,GO:0016787
Q0130,GO:0015986
Q0130,GO:1902600
Q0130,GO:0005739
Q0130,GO:0016020
Q0130,GO:0031966
Q0130,GO:0045263
Q0130,GO:0008289
Q0130,GO:0015078
Q0130,GO:0016887
Q0130,GO:0046933
Q0140,GO:0006412
Q0140,GO:0032543
Q0140,GO:0005739
Q0140,GO:0005761
Q0140,GO:0005763
Q0140,GO:0005840
Q0140,GO:1990904
Q0140,GO:0003735
Q0160,GO:0006314
Q0160,GO:0006397
Q0160,GO:0008380
Q0160,GO:0005739
