protein_id,species
b0001,E.coli
b0002,E.coli
b0003,E.coli
b0004,E.coli
b0005,E.coli
b0006,E.coli
b0007,E.coli
b0008,E.coli
b0009,E.coli
b0010,E.coli
b0011,E.coli
b0013,E.coli
b0014,E.coli
b0015,E.coli
b0016,E.coli
b0018,E.coli
b0019,E.coli
b0020,E.coli
b0021,E.coli
b0022,E.coli
b0023,E.coli
b0024,E.coli
b0025,E.coli
b0026,E.coli
b0027,E.coli
b0028,E.coli
b0029,E.coli
b0030,E.coli
b0031,E.coli
b0032,E.coli
b0033,E.coli
b0034,E.coli
b0035,E.coli
b0036,E.coli
b0037,E.coli
b0038,E.coli
b0039,E.coli
b0040,E.coli
b0041,E.coli
b0042,E.coli
b0043,E.coli
b0044,E.coli
b0045,E.coli
b0046,E.coli
b0047,E.coli
b0048,E.coli
b0049,E.coli
b0050,E.coli
b0051,E.coli
b0052,E.coli
b0053,E.coli
b0054,E.coli
b0055,E.coli
b0058,E.coli
b0059,E.coli
b0060,E.coli
b0061,E.coli
b0062,E.coli
b0063,E.coli
b0064,E.coli
b0065,E.coli
b0066,E.coli
b0067,E.coli
b0068,E.coli
b0069,E.coli
b0070,E.coli
b0071,E.coli
b0072,E.coli
b0073,E.coli
b0074,E.coli
b0075,E.coli
b0076,E.coli
b0077,E.coli
b0078,E.coli
b0080,E.coli
b0081,E.coli
b0082,E.coli
b0083,E.coli
b0084,E.coli
b0085,E.coli
b0086,E.coli
b0087,E.coli
b0088,E.coli
b0089,E.coli
b0090,E.coli
b0091,E.coli
b0092,E.coli
b0093,E.coli
b0094,E.coli
b0095,E.coli
b0096,E.coli
b0097,E.coli
b0098,E.coli
b0099,E.coli
b0101,E.coli
b0102,E.coli
b0103,E.coli
b0104,E.coli
b0106,E.coli
b0107,E.coli
b0108,E.coli
b0109,E.coli
b0110,E.coli
b0111,E.coli
b0112,E.coli
b0113,E.coli
b0114,E.coli
b0115,E.coli
b0116,E.coli
b0117,E.coli
b0118,E.coli
b0119,E.coli
b0120,E.coli
b0121,E.coli
b0122,E.coli
b0123,E.coli
b0124,E.coli
b0125,E.coli
b0126,E.coli
b0127,E.coli
b0128,E.coli
b0129,E.coli
b0130,E.coli
b0131,E.coli
b0132,E.coli
b0133,E.coli
b0134,E.coli
b0135,E.coli
b0136,E.coli
b0137,E.coli
b0138,E.coli
b0139,E.coli
b0140,E.coli
b0141,E.coli
b0142,E.coli
b0143,E.coli
b0144,E.coli
b0145,E.coli
b0146,E.coli
b0147,E.coli
b0148,E.coli
b0149,E.coli
b0150,E.coli
b0151,E.coli
b0152,E.coli
b0153,E.coli
b0154,E.coli
b0155,E.coli
b0156,E.coli
b0157,E.coli
b0158,E.coli
b0159,E.coli
b0160,E.coli
b0161,E.coli
b0162,E.coli
b0163,E.coli
b0164,E.coli
b0166,E.coli
b0167,E.coli
b0168,E.coli
b0169,E.coli
b0170,E.coli
b0171,E.coli
b0172,E.coli
b0173,E.coli
b0174,E.coli
b0175,E.coli
b0176,E.coli
b0177,E.coli
b0178,E.coli
b0179,E.coli
b0180,E.coli
b0181,E.coli
b0182,E.coli
b0183,E.coli
b0184,E.coli
b0185,E.coli
b0186,E.coli
b0187,E.coli
b0188,E.coli
b0189,E.coli
b0190,E.coli
b0191,E.coli
b0192,E.coli
b0193,E.coli
b0194,E.coli
b0195,E.coli
b0196,E.coli
b0197,E.coli
b0198,E.coli
b0199,E.coli
b0200,E.coli
b0207,E.coli
b0208,E.coli
b0209,E.coli
b0210,E.coli
b0211,E.coli
b0212,E.coli
b0213,E.coli
b0214,E.coli
b0215,E.coli
b0217,E.coli
b0219,E.coli
b0220,E.coli
b0221,E.coli
b0222,E.coli
b0223,E.coli
b0224,E.coli
b0225,E.coli
b0226,E.coli
b0227,E.coli
b0228,E.coli
b0231,E.coli
b0232,E.coli
b0233,E.coli
b0234,E.coli
b0237,E.coli
b0238,E.coli
b0239,E.coli
b0241,E.coli
b0242,E.coli
b0243,E.coli
b0245,E.coli
b0246,E.coli
b0247,E.coli
b0248,E.coli
b0249,E.coli
b0250,E.coli
b0251,E.coli
b0252,E.coli
b0253,E.coli
b0254,E.coli
b0256,E.coli
b0259,E.coli
b0260,E.coli
b0261,E.coli
b0262,E.coli
b0264,E.coli
b0265,E.coli
b0267,E.coli
b0268,E.coli
b0269,E.coli
b0270,E.coli
b0271,E.coli
b0272,E.coli
b0273,E.coli
b0274,E.coli
b0275,E.coli
b0277,E.coli
b0278,E.coli
b0279,E.coli
b0280,E.coli
b0281,E.coli
b0283,E.coli
b0284,E.coli
b0285,E.coli
b0286,E.coli
b0287,E.coli
b0288,E.coli
b0289,E.coli
b0290,E.coli
b0291,E.coli
b0292,E.coli
b0293,E.coli
b0294,E.coli
b0295,E.coli
b0296,E.coli
b0298,E.coli
b0299,E.coli
b0301,E.coli
b0303,E.coli
b0304,E.coli
b0305,E.coli
b0306,E.coli
b0307,E.coli
b0308,E.coli
b0310,E.coli
b0311,E.coli
b0312,E.coli
b0313,E.coli
b0314,E.coli
b0315,E.coli
b0316,E.coli
b0317,E.coli
b0318,E.coli
b0319,E.coli
b0320,E.coli
b0321,E.coli
b0323,E.coli
b0324,E.coli
b0325,E.coli
b0326,E.coli
b0327,E.coli
b0328,E.coli
b0329,E.coli
b0330,E.coli
b0331,E.coli
b0333,E.coli
b0334,E.coli
b0335,E.coli
b0336,E.coli
b0337,E.coli
b0338,E.coli
b0339,E.coli
b0340,E.coli
b0341,E.coli
b0342,E.coli
b0343,E.coli
b0344,E.coli
