protein_a,protein_b,interaction_score,experiment_approach,pubmed_id,GO_a,GO_b
b2954,b4177,746,Phenotypic Enhancement,PUBMED:22308425,GO:0000166|GO:0000287|GO:0005737|GO:0005829|GO:0009117|GO:0009143|GO:0009146|GO:0016787|GO:0017111|GO:0035870|GO:0036220|GO:0036222|GO:0042803|GO:0046872|GO:0047429,GO:0000287|GO:0004019|GO:0005515|GO:0005525|GO:0005737|GO:0005829|GO:0006164|GO:0006974|GO:0015949|GO:0016020|GO:0016874|GO:0044208|GO:0046040|GO:0046086|GO:0046872|GO:0097216
b2508,b2954,959,Phenotypic Enhancement,PUBMED:22308425,GO:0000166|GO:0003697|GO:0003938|GO:0005524|GO:0005829|GO:0006164|GO:0006177|GO:0006183|GO:0009411|GO:0016491|GO:0032991|GO:0042802|GO:0046872|GO:0051289|GO:0097216|GO:1990829,GO:0000166|GO:0000287|GO:0005737|GO:0005829|GO:0009117|GO:0009143|GO:0009146|GO:0016787|GO:0017111|GO:0035870|GO:0036220|GO:0036222|GO:0042803|GO:0046872|GO:0047429
b0881,b0882,999,Co-crystal Structure,PUBMED:16467841,GO:0005515|GO:0006508|GO:0009408|GO:0030163|GO:0051087|GO:0140678,GO:0004176|GO:0005515|GO:0005524|GO:0005737|GO:0005829|GO:0006508|GO:0006515|GO:0006979|GO:0009368|GO:0016887|GO:0034605|GO:0043335
b2592,b0014,999,Biochemical Activity,PUBMED:21474779,GO:0005515|GO:0005524|GO:0005737|GO:0005829|GO:0009408|GO:0016020|GO:0016887|GO:0034605|GO:0042026|GO:0042802,GO:0005515|GO:0005524|GO:0005737|GO:0005829|GO:0005886|GO:0006260|GO:0006457|GO:0008270|GO:0009408|GO:0016020|GO:0016234|GO:0016887|GO:0016989|GO:0031072|GO:0032991|GO:0034620|GO:0042026|GO:0043335|GO:0043531|GO:0044183|GO:0045892|GO:0051082|GO:0051085|GO:0051087|GO:0065003|GO:0140662|GO:1990169
b2592,b0014,999,Two-hybrid,PUBMED:21474779,GO:0005515|GO:0005524|GO:0005737|GO:0005829|GO:0009408|GO:0016020|GO:0016887|GO:0034605|GO:0042026|GO:0042802,GO:0005515|GO:0005524|GO:0005737|GO:0005829|GO:0005886|GO:0006260|GO:0006457|GO:0008270|GO:0009408|GO:0016020|GO:0016234|GO:0016887|GO:0016989|GO:0031072|GO:0032991|GO:0034620|GO:0042026|GO:0043335|GO:0043531|GO:0044183|GO:0045892|GO:0051082|GO:0051085|GO:0051087|GO:0065003|GO:0140662|GO:1990169
b2592,b0014,999,Phenotypic Enhancement,PUBMED:22732191,GO:0005515|GO:0005524|GO:0005737|GO:0005829|GO:0009408|GO:0016020|GO:0016887|GO:0034605|GO:0042026|GO:0042802,GO:0005515|GO:0005524|GO:0005737|GO:0005829|GO:0005886|GO:0006260|GO:0006457|GO:0008270|GO:0009408|GO:0016020|GO:0016234|GO:0016887|GO:0016989|GO:0031072|GO:0032991|GO:0034620|GO:0042026|GO:0043335|GO:0043531|GO:0044183|GO:0045892|GO:0051082|GO:0051085|GO:0051087|GO:0065003|GO:0140662|GO:1990169
b2592,b2614,998,Phenotypic Enhancement,PUBMED:22732191,GO:0005515|GO:0005524|GO:0005737|GO:0005829|GO:0009408|GO:0016020|GO:0016887|GO:0034605|GO:0042026|GO:0042802,GO:0000774|GO:0005515|GO:0005737|GO:0005829|GO:0006457|GO:0009408|GO:0019904|GO:0032991|GO:0042803|GO:0043335|GO:0051082|GO:0051085|GO:0051087|GO:0065003
b2617,b2595,999,Reconstituted Complex,PUBMED:21586578,GO:0005515|GO:0009279|GO:0016020|GO:0019867|GO:0030674|GO:0042802|GO:0043165|GO:0046677|GO:0051205|GO:1901612|GO:1990063,GO:0005515|GO:0009279|GO:0016020|GO:0043165|GO:0051205|GO:1990063
b0424,b3295,506,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0000345|GO:0000428|GO:0003677|GO:0003899|GO:0005515|GO:0005737|GO:0005829|GO:0006351|GO:0006352|GO:0006879|GO:0009408|GO:0016020|GO:0016779|GO:0031564|GO:0032784|GO:0034062|GO:0036460|GO:0042128|GO:0044780|GO:0046983|GO:0048870|GO:0071973|GO:0090605|GO:2000142
b0424,b3987,499,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0000345|GO:0000428|GO:0003677|GO:0003899|GO:0005515|GO:0005737|GO:0005829|GO:0006351|GO:0006352|GO:0006879|GO:0009408|GO:0016020|GO:0016779|GO:0031564|GO:0032549|GO:0032784|GO:0034062|GO:0036460|GO:0042128|GO:0044780|GO:0046677|GO:0048870|GO:0071973|GO:0090605|GO:2000142
b0424,b0014,583,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0005515|GO:0005524|GO:0005737|GO:0005829|GO:0005886|GO:0006260|GO:0006457|GO:0008270|GO:0009408|GO:0016020|GO:0016234|GO:0016887|GO:0016989|GO:0031072|GO:0032991|GO:0034620|GO:0042026|GO:0043335|GO:0043531|GO:0044183|GO:0045892|GO:0051082|GO:0051085|GO:0051087|GO:0065003|GO:0140662|GO:1990169
b0424,b0015,843,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0003756|GO:0005515|GO:0005524|GO:0005737|GO:0005829|GO:0006260|GO:0006457|GO:0008270|GO:0009408|GO:0015035|GO:0016020|GO:0016032|GO:0016989|GO:0031072|GO:0032991|GO:0042026|GO:0042803|GO:0043335|GO:0045892|GO:0046872|GO:0051082|GO:0051085|GO:0051087|GO:0065003
b0424,b4143,553,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0005524|GO:0009408|GO:0042026|GO:0051082|GO:0051085|GO:1990220
b0424,b2592,561,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0005515|GO:0005524|GO:0005737|GO:0005829|GO:0009408|GO:0016020|GO:0016887|GO:0034605|GO:0042026|GO:0042802
b0424,b0932,574,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0004177|GO:0005515|GO:0005886|GO:0006508|GO:0008237|GO:0008270|GO:0042802|GO:0046872
b0424,b0098,499,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0005515|GO:0005524|GO:0005737|GO:0005886|GO:0006605|GO:0006612|GO:0006886|GO:0008270|GO:0008564|GO:0009306|GO:0009898|GO:0015031|GO:0016020|GO:0017038|GO:0031522|GO:0042802|GO:0043021|GO:0043022|GO:0043952|GO:0046872|GO:0061077|GO:0065002|GO:0070678
b0424,b1732,592,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0004096|GO:0004601|GO:0005506|GO:0005737|GO:0005829|GO:0006972|GO:0006974|GO:0006979|GO:0020037|GO:0042744|GO:0042802|GO:0046872|GO:0098869
b0424,b0605,596,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0004601|GO:0005515|GO:0005737|GO:0005829|GO:0006979|GO:0008379|GO:0009321|GO:0009970|GO:0016020|GO:0016684|GO:0019290|GO:0032843|GO:0033194|GO:0033195|GO:0042744|GO:0042802|GO:0045454|GO:0051920|GO:0098869|GO:0102039
b0424,b2480,513,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0004601|GO:0005737|GO:0005829|GO:0006979|GO:0008379|GO:0016209|GO:0016491|GO:0032843|GO:0034599|GO:0045454|GO:0098869|GO:0140824
b0424,b2697,499,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0000049|GO:0001217|GO:0002161|GO:0002196|GO:0003676|GO:0004812|GO:0004813|GO:0005524|GO:0005737|GO:0005829|GO:0006412|GO:0006419|GO:0008270|GO:0016020|GO:0042802|GO:0042803|GO:0045892|GO:0046872|GO:0106074|GO:0141207
b0424,b0026,499,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0000049|GO:0002161|GO:0004812|GO:0004822|GO:0005515|GO:0005524|GO:0005737|GO:0005829|GO:0006412|GO:0006418|GO:0006428|GO:0008270|GO:0046677|GO:0046872|GO:0106074
b0424,b0642,499,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0002161|GO:0004812|GO:0004823|GO:0005515|GO:0005524|GO:0005737|GO:0005829|GO:0006412|GO:0006418|GO:0006429|GO:0106074
b0424,b1719,499,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0000049|GO:0000900|GO:0002161|GO:0003723|GO:0004812|GO:0004829|GO:0005515|GO:0005524|GO:0005737|GO:0005829|GO:0006412|GO:0006417|GO:0006418|GO:0006435|GO:0008270|GO:0042803|GO:0043039|GO:0045947|GO:0046677|GO:0046872|GO:0048027|GO:0106074
